policy,seed count,impressed,min_non_zero_prob,min_prob,avg_prob,zero_prob_count,consistency,corr,consistency2,consistency3,corr2,corr3,corr4,partition1_sp,partition2_sp,partition_diff,partition1_sp_min,partition2_sp_min,partition_min_diff,partition1_prox,partition2_prox,partition_prox_diff,partition1_prox_min,partition2_prox_min,partition_prox_min_diff,num_nodes_closer_to_T,saved_fraction,avg_sp_at_distance,avg_prox_at_distance,avg_vul_at_distance,std_dev_sp_at_distance,improved_sp_at_distance,avg_proximity_of_T,gini_coef,gini_coeff_list
biog,10,27211.43,0.010000000000000009,0.0,0.6022476722260389,1616,0.7039616661214324,-0.5659041606309787,0.688469175066161,0.07879659706880249,0.29638875232821366,0.6589586081299595,-0.2077577577896972,0.6042510452910733,0.6004204432489328,-0.003830602042140474,0.0,0.0,0.0,2.9894155141662524,2.9939477223554176,0.004532208189165221,0.0,0.0,0.0,3080.0,0.46902185345148883,"[0.8305647709320694, 0.677577426015141, 0.5709695621867428, 0.5508885287961651, 0.5421534279673815]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8305647709320694, 0.677577426015141, 0.5709695621867428, 0.5508885287961651, 0.5421534279673815]","[0.13519264292867691, 0.22944341405248003, 0.2747469424775961, 0.2996862296931731, 0.3158864962030138]","[0.7990363349131122, 0.5409285386556549, 0.31881302486142005, 0.18291742623725607, 0.07621262458471761]",1.0,0.25989585662518006,"[0.09042753931329853, 0.1892608520868081, 0.2757609686414277, 0.3101638098421516, 0.33018007740947186]"
fair-cmia-o,10,29032.99,0.010000000000000009,0.0,0.5756217385584611,1395,0.7227399469960737,-0.5892815083595917,0.7077561652381585,0.09453257340500465,0.4157944434398044,0.6212434003021557,-0.09824404346218074,0.5774448115552177,0.5739670194725455,-0.003477792082672182,0.0,0.0,0.0,2.9057337504751324,2.9083094555873927,0.0025757051122603514,0.0,0.0,0.0,4674.0,0.4334776518925518,"[0.8099324038867766, 0.5852662750618962, 0.5599579261672095, 0.5532414267165661, 0.5680642750373691]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8099324038867766, 0.5852662750618962, 0.5599579261672095, 0.5532414267165661, 0.5680642750373691]","[0.17935643904917273, 0.23814169580116903, 0.24400060878966562, 0.30883604333238757, 0.305194302676032]","[0.7265356991972962, 0.46618428079032964, 0.3005669788273616, 0.1416306423279615, 0.06130418535127056]",1.5,0.2581790196841688,"[0.12190211044962962, 0.23292759332908655, 0.24817061765849188, 0.31658550724854334, 0.3055366792882329]"
myopic_maximin,10,40371.71,0.010000000000000009,0.0,0.40988247847631293,1186,0.724097886946264,-0.754452159228883,0.6822684090664476,0.15154755329237268,0.4195467636498103,0.6524209011085372,0.07594306731915013,0.4101944387591006,0.4096903689842699,-0.0005040697748306955,0.0,0.0,0.0,3.3403409257039267,3.337085550552599,-0.0032553751513275664,0.0,0.0,0.0,1043.0,0.21222457809846845,"[0.8124229691876751, 0.44357150794532724, 0.35415727417416437, 0.4210953221535746, 0.56426579336573]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8124229691876751, 0.44357150794532724, 0.35415727417416437, 0.4210953221535746, 0.56426579336573]","[0.1585425048968605, 0.2825417651690733, 0.2623017519286035, 0.281065587897371, 0.2898182669428915]","[0.8055742296918769, 0.38082898099788864, 0.16840452138889792, 0.06538526037069727, 0.03962391717726601]",2.1,0.3949844536023952,"[0.10833090800062335, 0.36552762751127515, 0.42088869477898416, 0.38433532976810714, 0.29246582159279144]"
protect,10,25118.14,0.010000000000000009,0.010000000000000009,0.6328455118179294,0,0.756452628198717,-0.5978940549567016,0.7423825757873501,0.20518063411885645,0.39437139953296696,0.6949742373199257,0.008453101525278133,0.6328578111751119,0.6330182445471025,0.00016043337199067587,0.010000000000000009,0.010000000000000009,0.0,2.7702991140609923,2.7670604058242207,-0.003238708236771526,0.0,0.0,0.0,5146.0,0.5098683376086439,"[0.803320811419985, 0.6204754420432219, 0.6086764196948246, 0.6804428904428905, 0.7695592864637986]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.803320811419985, 0.6204754420432219, 0.6086764196948246, 0.6804428904428905, 0.7695592864637986]","[0.16257188669090875, 0.22947325600375013, 0.2284159992446217, 0.21821729151207095, 0.16094948762239875]","[0.7310142749812172, 0.487786072909845, 0.3390429447852761, 0.20907469342251947, 0.1319832109129066]",1.8,0.20660136728534353,"[0.11220094144195286, 0.21175603696345335, 0.21501796830939224, 0.18204063936638518, 0.11626878913167647]"
naive_protect,10,26050.83,0.010000000000000009,0.0,0.6192122842149882,1541,0.7214303204505226,-0.5551940601595476,0.7083430114476312,0.08124761204488395,0.3086036741111422,0.6517743940492525,-0.20690689885291932,0.6209602058419346,0.6176454593298637,-0.0033147465120708652,0.0,0.0,0.0,2.9246220870734776,2.9287468569089525,0.00412476983547494,0.0,0.0,0.0,3399.0,0.4916687057809769,"[0.783949246629659, 0.6793308138070043, 0.60459906291834, 0.5435888252148997, 0.5517645331767469]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.783949246629659, 0.6793308138070043, 0.60459906291834, 0.5435888252148997, 0.5517645331767469]","[0.13683470799863753, 0.2044980844065389, 0.26097026999207723, 0.3102718919229832, 0.3194884045175058]","[0.7540047581284695, 0.5427966742252456, 0.336225234270415, 0.177308182107609, 0.06852613035819143]",1.0,0.2369918958533803,"[0.09907406551728916, 0.16670352365295582, 0.2442657238102185, 0.3253259742148178, 0.32896724633067626]"
degree,15,14298.63,0.010000000000000009,0.0,0.790995424846155,1,0.8099682688088189,-0.40547039558539166,0.8109512774601091,0.17665062628964712,0.34591250141413166,0.7121171802414376,-0.09270225335988685,0.7912373907195696,0.7909847377346354,-0.0002526529849341541,0.010000000000000009,0.0,-0.010000000000000009,2.5476155667962925,2.545903748318812,-0.0017118184774806977,0.0,0.0,0.0,9821.0,0.720990037804594,"[0.8676569624693092, 0.7958919849608208, 0.7691923891662885, 0.7857491545360976, 0.8319515011547345]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8676569624693092, 0.7958919849608208, 0.7691923891662885, 0.7857491545360976, 0.8319515011547345]","[0.12148480513088984, 0.1698791363666812, 0.19801481639145704, 0.17500805873756362, 0.12098136994673994]","[0.8266958961767801, 0.6346600372465653, 0.4518588288697231, 0.2983311277753271, 0.203568129330254]",1.0,0.12109653750328388,"[0.07633485981495602, 0.11435108552493843, 0.1373251370163569, 0.12149779941616648, 0.08063255539085329]"
pagerank,15,25165.83,0.010000000000000009,0.0,0.6321484220835221,1398,0.7167547377285457,-0.55966306829851,0.7066080160277213,0.09037655485575435,0.4347571111938103,0.4343335862444181,-0.26083816646191316,0.6342150814303675,0.6302666510730367,-0.003948430357330834,0.0,0.0,0.0,2.721762521563697,2.7265949359686568,0.0048324144049596285,0.0,0.0,0.0,10538.0,0.5089377599870746,"[0.8426870324189527, 0.6756166441339942, 0.6115500485908649, 0.5375568061159481, 0.47168664383561637]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8426870324189527, 0.6756166441339942, 0.6115500485908649, 0.5375568061159481, 0.47168664383561637]","[0.16790872804603207, 0.230186306865512, 0.2564077097875939, 0.32188218664586643, 0.32546170748767195]","[0.6531203241895261, 0.498215787892444, 0.3374157135381625, 0.16483860692291355, 0.05421660958904109]",1.6666666666666667,0.2363763747562868,"[0.10737697489834613, 0.19320617866559572, 0.23594455980701795, 0.3407822108493915, 0.3958944328009247]"
cmia-o,15,18133.43,0.010000000000000009,0.0,0.7349417508368293,46,0.7823374727997807,-0.48297351778108305,0.7773119867398008,0.18785870083977563,0.30474782950696916,0.7332015940245338,-0.0932863816634703,0.7354685535510658,0.734629846207824,-0.0008387073432417624,0.0,0.0,0.0,2.6607116750972195,2.6593766446406644,-0.0013350304565551419,0.0,0.0,0.0,6133.0,0.6461613721892907,"[0.8521983054728647, 0.7475078168844705, 0.7029881983216876, 0.7395664703671219, 0.8151274787535411]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8521983054728647, 0.7475078168844705, 0.7029881983216876, 0.7395664703671219, 0.8151274787535411]","[0.12256727894311821, 0.18768797584231123, 0.22366920508629537, 0.19803776791953054, 0.13101931245591056]","[0.8170139683993588, 0.5978493546059487, 0.4118197318712179, 0.26388798396190954, 0.17524079320113312]",1.0,0.15239593181021827,"[0.07948223089972009, 0.1375687953806992, 0.17537676741508904, 0.14863351762600724, 0.09034611585289325]"
biog,15,25541.17,0.010000000000000009,0.0,0.6266620379167702,1576,0.6993618024639019,-0.5290026967622986,0.6875879349812916,0.07299949341584167,0.28372147423909755,0.6460057898103652,-0.2426925152473443,0.6287821993508962,0.6247251622712122,-0.004057037079683967,0.0,0.0,0.0,2.950176895412415,2.9531021577685515,0.0029252623561366597,0.0,0.0,0.0,3741.0,0.5016137296981292,"[0.8614019020781963, 0.7082426025829655, 0.5928424497428706, 0.5639650711513584, 0.5359234661606578]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8614019020781963, 0.7082426025829655, 0.5928424497428706, 0.5639650711513584, 0.5359234661606578]","[0.1295278504689404, 0.22843312298196367, 0.2748481090081852, 0.3073277071920438, 0.32025920157258136]","[0.8286544557942939, 0.5662051114380687, 0.3372012956655313, 0.18741483398016387, 0.0749304237824162]",1.0,0.25024277234504505,"[0.08159309612374764, 0.17859804980884925, 0.26473416755270573, 0.30925428572379965, 0.3393860830596755]"
fair-cmia-o,15,27336.19,0.010000000000000009,0.0,0.600424042214199,1297,0.7176709104080244,-0.5444765178809767,0.7070205151916521,0.07567725948337489,0.40496967787187477,0.6060934377761211,-0.1429679945581521,0.6030250577468494,0.5979986550494123,-0.005026402697437149,0.0,0.0,0.0,2.8511447033712463,2.855622478217648,0.004477774846401772,0.0,0.0,0.0,5947.0,0.4665874046348191,"[0.8391106783511846, 0.6162261467889909, 0.58034970945589, 0.5619586550836552, 0.5803087409783481]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8391106783511846, 0.6162261467889909, 0.58034970945589, 0.5619586550836552, 0.5803087409783481]","[0.1715064543812029, 0.2420248703097587, 0.24444340269724654, 0.3103508215882182, 0.3008767343115426]","[0.7345309964297306, 0.49303577981651375, 0.3127135058989259, 0.14809202059202062, 0.06413793103448275]",1.6666666666666667,0.24784607531124206,"[0.10925230988833053, 0.22462448221103526, 0.23845435731568415, 0.3121910240908478, 0.2944080960581684]"
myopic_maximin,15,34984.61,0.010000000000000009,0.0,0.48862628447809636,121,0.7330702139009553,-0.7112912221166234,0.7010445124011411,0.16682499013451335,0.4097623442447049,0.6791480539770562,0.06012305989802521,0.487810590333616,0.489584819601193,0.0017742292675769766,0.0,0.0,0.0,3.1219847372883835,3.1115431846090873,-0.010441552679296251,0.0,0.0,0.0,1938.0,0.31734335992182294,"[0.7915590405904058, 0.4898797972483707, 0.4505536311334679, 0.5071943387250238, 0.6521831637372802]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.7915590405904058, 0.4898797972483707, 0.4505536311334679, 0.5071943387250238, 0.6521831637372802]","[0.1689299545374915, 0.2575968143981665, 0.25123590554125125, 0.272714927690559, 0.2388947874222475]","[0.7822047970479705, 0.40380304127443883, 0.22846561643422997, 0.11510525689819219, 0.089913660191181]",1.8666666666666667,0.31096738539554086,"[0.11933022637143238, 0.3022701616305367, 0.3209798793888069, 0.31015844674341014, 0.2060314895652875]"
protect,15,20019.41,0.06000000000000005,0.06000000000000005,0.7073741832692617,0,0.7958893894498589,-0.5455580399794057,0.7883974357486339,0.22734082531635835,0.39965500675452154,0.7023754173167304,0.010096283239765604,0.707600947340721,0.7073542482895737,-0.00024669905114727,0.06000000000000005,0.06000000000000005,0.0,2.63761293529429,2.635752295187416,-0.0018606401068739231,0.0,0.0,0.0,6872.0,0.6093601395885946,"[0.8096600489529507, 0.6911147528631707, 0.6972939745570494, 0.7515237088492903, 0.8003765227021041]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8096600489529507, 0.6911147528631707, 0.6972939745570494, 0.7515237088492903, 0.8003765227021041]","[0.15454027471292653, 0.1898072443993537, 0.19197540398199464, 0.18163770805776924, 0.14935472866582042]","[0.7480065270601034, 0.5514511754068716, 0.3950215311791197, 0.2448157656297191, 0.16277962347729788]",1.6,0.15222112592003073,"[0.1068249275237594, 0.15604102445995527, 0.15498590449192723, 0.13644654462468095, 0.10046347247927015]"
